db_id	question	gold_query	predicted_query
concert_singer	Show location and name for all stadiums with a capacity between 5000 and 10000.	SELECT LOCATION ,  name FROM stadium WHERE capacity BETWEEN 5000 AND 10000	SELECT stadium.Location, stadium.Name FROM stadium WHERE stadium.Capacity BETWEEN 5000 AND 10000
concert_singer	What are the locations and names of all stations with capacity between 5000 and 10000?	SELECT LOCATION ,  name FROM stadium WHERE capacity BETWEEN 5000 AND 10000	SELECT stadium.Location, stadium.Name FROM stadium WHERE stadium.Capacity BETWEEN 5000 AND 10000
concert_singer	What is the maximum capacity and the average of all stadiums ?	select max(capacity), average from stadium	SELECT MAX(stadium.Capacity), AVG(stadium.Average) FROM stadium
concert_singer	What is the average and maximum capacities for all stadiums ?	select avg(capacity) ,  max(capacity) from stadium	SELECT AVG(stadium.Capacity), MAX(stadium.Capacity) FROM stadium
concert_singer	What is the name and capacity for the stadium with highest average attendance?	SELECT name ,  capacity FROM stadium ORDER BY average DESC LIMIT 1	SELECT stadium.Name, stadium.Capacity FROM stadium ORDER BY stadium.Average DESC LIMIT 1
concert_singer	What is the name and capacity for the stadium with the highest average attendance?	SELECT name ,  capacity FROM stadium ORDER BY average DESC LIMIT 1	SELECT stadium.Name, stadium.Capacity FROM stadium ORDER BY stadium.Average DESC LIMIT 1
concert_singer	How many concerts are there in year 2014 or 2015?	SELECT count(*) FROM concert WHERE YEAR  =  2014 OR YEAR  =  2015	SELECT COUNT(*) FROM concert WHERE concert.Year = 2014 OR concert.Year = 2015
concert_singer	How many concerts occurred in 2014 or 2015?	SELECT count(*) FROM concert WHERE YEAR  =  2014 OR YEAR  =  2015	SELECT COUNT(*) FROM concert WHERE concert.Year = 2014 OR concert.Year = 2015
concert_singer	Show the stadium name and the number of concerts in each stadium.	SELECT T2.name ,  count(*) FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id GROUP BY T1.stadium_id	SELECT stadium.Name, COUNT(*) FROM stadium JOIN concert ON stadium.Stadium_ID = concert.Stadium_ID GROUP BY stadium.Stadium_ID
concert_singer	For each stadium, how many concerts play there?	SELECT T2.name ,  count(*) FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id GROUP BY T1.stadium_id	SELECT stadium.Stadium_ID, COUNT(*) FROM stadium JOIN concert ON stadium.Stadium_ID = concert.Stadium_ID GROUP BY stadium.Stadium_ID
concert_singer	Show the stadium name and capacity with most number of concerts in year 2014 or after.	SELECT T2.name ,  T2.capacity FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.year  >=  2014 GROUP BY T2.stadium_id ORDER BY count(*) DESC LIMIT 1	SELECT stadium.Name, stadium.Capacity FROM stadium JOIN concert ON stadium.Stadium_ID = concert.Stadium_ID WHERE concert.Year >= 2014 GROUP BY concert.Stadium_ID ORDER BY COUNT(*) DESC LIMIT 1
concert_singer	What is the name and capacity of the stadium with the most concerts after 2013 ?	select t2.name ,  t2.capacity from concert as t1 join stadium as t2 on t1.stadium_id  =  t2.stadium_id where t1.year  >  2013 group by t2.stadium_id order by count(*) desc limit 1	SELECT stadium.Name, stadium.Capacity FROM stadium JOIN concert ON stadium.Stadium_ID = concert.Stadium_ID WHERE concert.Year > 2013 GROUP BY concert.Stadium_ID ORDER BY COUNT(*) DESC LIMIT 1
concert_singer	Which year has most number of concerts?	SELECT YEAR FROM concert GROUP BY YEAR ORDER BY count(*) DESC LIMIT 1	SELECT concert.Year FROM concert GROUP BY concert.Year ORDER BY COUNT(*) DESC LIMIT 1
concert_singer	What is the year that had the most concerts?	SELECT YEAR FROM concert GROUP BY YEAR ORDER BY count(*) DESC LIMIT 1	SELECT concert.Year FROM concert GROUP BY concert.Year ORDER BY COUNT(*) DESC LIMIT 1
concert_singer	Show the stadium names without any concert.	SELECT name FROM stadium WHERE stadium_id NOT IN (SELECT stadium_id FROM concert)	SELECT stadium.Name FROM stadium WHERE stadium.Stadium_ID NOT IN (SELECT concert.Stadium_ID FROM concert)
concert_singer	What are the names of the stadiums without any concerts?	SELECT name FROM stadium WHERE stadium_id NOT IN (SELECT stadium_id FROM concert)	SELECT stadium.Name FROM stadium WHERE stadium.Stadium_ID NOT IN (SELECT concert.Stadium_ID FROM concert)
concert_singer	Show countries where a singer above age 40 and a singer below 30 are from.	SELECT country FROM singer WHERE age  >  40 INTERSECT SELECT country FROM singer WHERE age  <  30	SELECT singer.Country FROM singer WHERE singer.Age > 40 INTERSECT SELECT singer.Country FROM singer WHERE singer.Age < 30
concert_singer	Show names for all stadiums except for stadiums having a concert in year 2014.	SELECT name FROM stadium EXCEPT SELECT T2.name FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.year  =  2014	SELECT stadium.Name FROM stadium EXCEPT SELECT stadium.Name FROM stadium JOIN concert ON stadium.Stadium_ID = concert.Stadium_ID WHERE concert.Year = 2014
concert_singer	What are the names of all stadiums that did not have a concert in 2014?	SELECT name FROM stadium EXCEPT SELECT T2.name FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.year  =  2014	SELECT stadium.Name FROM stadium EXCEPT SELECT stadium.Name FROM concert JOIN stadium ON concert.Stadium_ID = stadium.Stadium_ID WHERE concert.Year = 2014
concert_singer	Show the name and theme for all concerts and the number of singers in each concert.	SELECT T2.concert_name ,  T2.theme ,  count(*) FROM singer_in_concert AS T1 JOIN concert AS T2 ON T1.concert_id  =  T2.concert_id GROUP BY T2.concert_id	SELECT concert.concert_Name, concert.Theme, COUNT(*) FROM singer_in_concert JOIN concert ON singer_in_concert.concert_ID = concert.concert_ID GROUP BY singer_in_concert.concert_ID
concert_singer	What are the names , themes , and number of singers for every concert ?	select t2.concert_name ,  t2.theme ,  count(*) from singer_in_concert as t1 join concert as t2 on t1.concert_id  =  t2.concert_id group by t2.concert_id	SELECT concert.concert_Name, concert.Theme, COUNT(*) FROM singer_in_concert JOIN concert ON singer_in_concert.concert_ID = concert.concert_ID GROUP BY singer_in_concert.concert_ID
concert_singer	List singer names and number of concerts for each singer.	SELECT T2.name ,  count(*) FROM singer_in_concert AS T1 JOIN singer AS T2 ON T1.singer_id  =  T2.singer_id GROUP BY T2.singer_id	SELECT singer.Name, COUNT(*) FROM singer_in_concert JOIN singer ON singer_in_concert.Singer_ID = singer.Singer_ID GROUP BY singer_in_concert.Singer_ID
concert_singer	What are the names of the singers and number of concerts for each person?	SELECT T2.name ,  count(*) FROM singer_in_concert AS T1 JOIN singer AS T2 ON T1.singer_id  =  T2.singer_id GROUP BY T2.singer_id	SELECT singer.Name, COUNT(*) FROM singer_in_concert JOIN singer ON singer_in_concert.Singer_ID = singer.Singer_ID GROUP BY singer_in_concert.Singer_ID
concert_singer	List all singer names in concerts in year 2014.	SELECT T2.name FROM singer_in_concert AS T1 JOIN singer AS T2 ON T1.singer_id  =  T2.singer_id JOIN concert AS T3 ON T1.concert_id  =  T3.concert_id WHERE T3.year  =  2014	SELECT singer.Name FROM singer_in_concert JOIN singer ON singer_in_concert.Singer_ID = singer.Singer_ID WHERE singer.Song_release_year = 2014
concert_singer	What are the names of the singers who performed in a concert in 2014?	SELECT T2.name FROM singer_in_concert AS T1 JOIN singer AS T2 ON T1.singer_id  =  T2.singer_id JOIN concert AS T3 ON T1.concert_id  =  T3.concert_id WHERE T3.year  =  2014	SELECT singer.Name FROM singer_in_concert JOIN singer ON singer_in_concert.Singer_ID = singer.Singer_ID WHERE singer.Song_release_year = 2014
concert_singer	what is the name and nation of the singer who have a song having 'Hey' in its name?	SELECT name ,  country FROM singer WHERE song_name LIKE '%Hey%'	SELECT singer.Name, singer.Country FROM singer WHERE singer.Song_Name LIKE "% Hey %"
concert_singer	What is the name and country of origin of every singer who has a song with the word 'Hey' in its title?	SELECT name ,  country FROM singer WHERE song_name LIKE '%Hey%'	SELECT singer.Name, singer.Country FROM singer WHERE singer.Song_Name LIKE "% Hey %"
concert_singer	Find the name and location of the stadiums which some concerts happened in the years of both 2014 and 2015.	SELECT T2.name ,  T2.location FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.Year  =  2014 INTERSECT SELECT T2.name ,  T2.location FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.Year  =  2015	SELECT stadium.Name, stadium.Location FROM concert JOIN stadium ON concert.Stadium_ID = stadium.Stadium_ID WHERE concert.Year = 2014 INTERSECT SELECT stadium.Name, stadium.Location FROM concert JOIN stadium ON concert.Stadium_ID = stadium.Stadium_ID WHERE concert.Year = 2015
concert_singer	What are the names and locations of the stadiums that had concerts that occurred in both 2014 and 2015?	SELECT T2.name ,  T2.location FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.Year  =  2014 INTERSECT SELECT T2.name ,  T2.location FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.Year  =  2015	SELECT stadium.Name, stadium.Location FROM concert JOIN stadium ON concert.Stadium_ID = stadium.Stadium_ID WHERE concert.Year = 2014 INTERSECT SELECT stadium.Name, stadium.Location FROM concert JOIN stadium ON concert.Stadium_ID = stadium.Stadium_ID WHERE concert.Year = 2015
concert_singer	Find the number of concerts happened in the stadium with the highest capacity .	select count(*) from concert where stadium_id = (select stadium_id from stadium order by capacity desc limit 1)	SELECT COUNT(*) FROM stadium JOIN concert ON stadium.Stadium_ID = concert.Stadium_ID ORDER BY stadium.Capacity DESC LIMIT 1
concert_singer	What are the number of concerts that occurred in the stadium with the largest capacity ?	select count(*) from concert where stadium_id = (select stadium_id from stadium order by capacity desc limit 1)	SELECT COUNT(*) FROM stadium JOIN concert ON stadium.Stadium_ID = concert.Stadium_ID WHERE stadium.Capacity = (SELECT MAX(stadium.Capacity) FROM stadium)
pets_1	Find the number of pets whose weight is heavier than 10.	SELECT count(*) FROM pets WHERE weight  >  10	SELECT COUNT(*) FROM Pets WHERE Pets.weight > 10
pets_1	How many pets have a greater weight than 10?	SELECT count(*) FROM pets WHERE weight  >  10	SELECT COUNT(*) FROM Pets WHERE Pets.weight > 10
pets_1	Find the weight of the youngest dog.	SELECT weight FROM pets ORDER BY pet_age LIMIT 1	SELECT Pets.weight FROM Pets ORDER BY Pets.pet_age ASC LIMIT 1
pets_1	How much does the youngest dog weigh?	SELECT weight FROM pets ORDER BY pet_age LIMIT 1	SELECT Pets.weight FROM Pets ORDER BY Pets.pet_age ASC LIMIT 1
pets_1	Find the maximum weight for each type of pet. List the maximum weight and pet type.	SELECT max(weight) ,  petType FROM pets GROUP BY petType	SELECT MAX(Pets.weight), Pets.PetType FROM Pets GROUP BY Pets.PetType
pets_1	List the maximum weight and type for each type of pet.	SELECT max(weight) ,  petType FROM pets GROUP BY petType	SELECT Pets.PetType, MAX(Pets.weight) FROM Pets GROUP BY Pets.PetType
pets_1	Find number of pets owned by students who are older than 20.	SELECT count(*) FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid WHERE T1.age  >  20	SELECT COUNT(*) FROM Pets JOIN Has_Pet ON Pets.PetID = Has_Pet.PetID JOIN Student ON Student.StuID = Has_Pet.StuID WHERE Student.Age > 20
pets_1	How many pets are owned by students that have an age greater than 20?	SELECT count(*) FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid WHERE T1.age  >  20	SELECT COUNT(*) FROM Pets JOIN Has_Pet ON Pets.PetID = Has_Pet.PetID JOIN Student ON Student.StuID = Has_Pet.StuID WHERE Student.Age > 20
pets_1	Find the number of dog pets that are raised by female students (with sex F).	SELECT count(*) FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T2.petid  =  T3.petid WHERE T1.sex  =  'F' AND T3.pettype  =  'dog'	SELECT COUNT(*) FROM Pets JOIN Has_Pet ON Pets.PetID = Has_Pet.PetID JOIN Student ON Has_Pet.StuID = Student.StuID WHERE Student.Sex = "F"
pets_1	How many dog pets are raised by female students?	SELECT count(*) FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T2.petid  =  T3.petid WHERE T1.sex  =  'F' AND T3.pettype  =  'dog'	SELECT COUNT(*) FROM Pets JOIN Has_Pet ON Pets.PetID = Has_Pet.PetID JOIN Student ON Has_Pet.StuID = Student.StuID WHERE Student.Sex = "VALUE" AND Pets.PetType = "dog"
pets_1	Find the number of distinct type of pets.	SELECT count(DISTINCT pettype) FROM pets	SELECT COUNT(DISTINCT Pets.PetType) FROM Pets
pets_1	How many different types of pet are there?	SELECT count(DISTINCT pettype) FROM pets	SELECT COUNT(DISTINCT Pets.PetType) FROM Pets
pets_1	Find the first name of students who have cat or dog pet.	SELECT DISTINCT T1.Fname FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'cat' OR T3.pettype  =  'dog'	SELECT DISTINCT Student.Fname FROM Student JOIN Has_Pet ON Student.StuID = Has_Pet.StuID JOIN Pets ON Has_Pet.PetID = Pets.PetID WHERE Pets.PetType = "cat" OR Pets.PetType = "dog"
pets_1	What are the first names of every student who has a cat or dog as a pet?	SELECT DISTINCT T1.Fname FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'cat' OR T3.pettype  =  'dog'	SELECT Student.Fname FROM Student JOIN Has_Pet ON Student.StuID = Has_Pet.StuID JOIN Pets ON Has_Pet.PetID = Pets.PetID WHERE Pets.PetType = "cat" OR Pets.PetType = "dog"
pets_1	Find the first name of students who have both cat and dog pets .	select t1.fname from student as t1 join has_pet as t2 on t1.stuid  =  t2.stuid join pets as t3 on t3.petid  =  t2.petid where t3.pettype  =  'cat' intersect select t1.fname from student as t1 join has_pet as t2 on t1.stuid  =  t2.stuid join pets as t3 on t3.petid  =  t2.petid where t3.pettype  =  'dog'	SELECT Student.Fname FROM Student JOIN Has_Pet ON Student.StuID = Has_Pet.StuID JOIN Pets ON Has_Pet.PetID = Pets.PetID WHERE Pets.PetType = "cat" INTERSECT SELECT Student.Fname FROM Student JOIN Has_Pet ON Student.StuID = Has_Pet.StuID JOIN Pets ON Has_Pet.PetID = Pets.PetID WHERE Pets.PetType = "dog"
pets_1	What are the students' first names who have both cats and dogs as pets?	SELECT T1.Fname FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'cat' INTERSECT SELECT T1.Fname FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'dog'	SELECT Student.Fname FROM Student JOIN Has_Pet ON Student.StuID = Has_Pet.StuID JOIN Pets ON Has_Pet.PetID = Pets.PetID WHERE Pets.PetType = "VALUE" INTERSECT SELECT Student.Fname FROM Student JOIN Has_Pet ON Student.StuID = Has_Pet.StuID JOIN Pets ON Has_Pet.PetID = Pets.PetID WHERE Pets.PetType = "VALUE"
pets_1	Find the major and age of students who do not have a cat pet.	SELECT major ,  age FROM student WHERE stuid NOT IN (SELECT T1.stuid FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'cat')	SELECT Student.Major, Student.Age FROM Student WHERE Student.StuID NOT IN (SELECT Has_Pet.StuID FROM Has_Pet JOIN Pets ON Has_Pet.PetID = Pets.PetID WHERE Pets.PetType = "cat")
pets_1	What major is every student who does not own a cat as a pet, and also how old are they?	SELECT major ,  age FROM student WHERE stuid NOT IN (SELECT T1.stuid FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'cat')	SELECT Student.Major, Student.Age FROM Student EXCEPT SELECT Student.Major, Student.Age FROM Student JOIN Has_Pet ON Student.StuID = Has_Pet.StuID JOIN Pets ON Has_Pet.PetID = Pets.PetID WHERE Pets.PetType = "cat"
pets_1	Find the id of students who do not have a cat pet.	SELECT stuid FROM student EXCEPT SELECT T1.stuid FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'cat'	SELECT Student.StuID FROM Student EXCEPT SELECT Has_Pet.StuID FROM Has_Pet JOIN Pets ON Has_Pet.PetID = Pets.PetID WHERE Pets.PetType = "cat"
pets_1	What are the ids of the students who do not own cats as pets?	SELECT stuid FROM student EXCEPT SELECT T1.stuid FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'cat'	SELECT Student.StuID FROM Student EXCEPT SELECT Has_Pet.StuID FROM Has_Pet JOIN Pets ON Has_Pet.PetID = Pets.PetID WHERE Pets.PetType = "VALUE"
pets_1	Find the first name and age of students who have a dog but do not have a cat as a pet.	SELECT T1.fname ,  T1.age FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'dog' AND T1.stuid NOT IN (SELECT T1.stuid FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'cat')	SELECT Student.Fname, Student.Age FROM Student WHERE Student.StuID IN (SELECT Has_Pet.StuID FROM Has_Pet JOIN Pets ON Has_Pet.PetID = Pets.PetID WHERE Pets.PetType = "dog" EXCEPT SELECT Has_Pet.StuID FROM Has_Pet JOIN Pets ON Has_Pet.PetID = Pets.PetID WHERE Pets.PetType = "cat")
pets_1	What is the first name of every student who has a dog but does not have a cat?	SELECT T1.fname ,  T1.age FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'dog' AND T1.stuid NOT IN (SELECT T1.stuid FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'cat')	SELECT Student.Fname FROM Student WHERE Student.StuID IN (SELECT Has_Pet.StuID FROM Has_Pet JOIN Pets ON Has_Pet.PetID = Pets.PetID WHERE Pets.PetType = "dog" EXCEPT SELECT Has_Pet.StuID FROM Has_Pet JOIN Pets ON Has_Pet.PetID = Pets.PetID WHERE Pets.PetType = "cat")
pets_1	Find the type and weight of the youngest pet.	SELECT pettype ,  weight FROM pets ORDER BY pet_age LIMIT 1	SELECT Pets.PetType, Pets.weight FROM Pets ORDER BY Pets.pet_age ASC LIMIT 1
pets_1	What type of pet is the youngest animal, and how much does it weigh?	SELECT pettype ,  weight FROM pets ORDER BY pet_age LIMIT 1	SELECT Pets.PetType, Pets.weight FROM Pets ORDER BY Pets.pet_age LIMIT 1
pets_1	Find the id and weight of all pets whose age is older than 1.	SELECT petid ,  weight FROM pets WHERE pet_age  >  1	SELECT Pets.PetID, Pets.weight FROM Pets WHERE Pets.pet_age > 1
pets_1	What is the id and weight of every pet who is older than 1?	SELECT petid ,  weight FROM pets WHERE pet_age  >  1	SELECT Pets.PetID, Pets.weight FROM Pets WHERE Pets.pet_age > 1
pets_1	Find the average and maximum age for each type of pet.	SELECT avg(pet_age) ,  max(pet_age) ,  pettype FROM pets GROUP BY pettype	SELECT Pets.PetType, AVG(Pets.pet_age), MAX(Pets.pet_age) FROM Pets GROUP BY Pets.PetType
pets_1	What is the average and maximum age for each pet type?	SELECT avg(pet_age) ,  max(pet_age) ,  pettype FROM pets GROUP BY pettype	SELECT Pets.PetType, AVG(Pets.pet_age), MAX(Pets.pet_age) FROM Pets GROUP BY Pets.PetType
pets_1	Find the average weight for each pet type.	SELECT avg(weight) ,  pettype FROM pets GROUP BY pettype	SELECT Pets.PetType, AVG(Pets.weight) FROM Pets GROUP BY Pets.PetType
pets_1	What is the average weight for each type of pet?	SELECT avg(weight) ,  pettype FROM pets GROUP BY pettype	SELECT Pets.PetType, AVG(Pets.weight) FROM Pets GROUP BY Pets.PetType
pets_1	Find the first name and age of students who have a pet.	SELECT DISTINCT T1.fname ,  T1.age FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid	SELECT DISTINCT Student.Fname, Student.Age FROM Student JOIN Has_Pet ON Student.StuID = Has_Pet.StuID
pets_1	What are the different first names and ages of the students who do have pets?	SELECT DISTINCT T1.fname ,  T1.age FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid	SELECT DISTINCT Student.Fname, Student.Age FROM Student JOIN Has_Pet ON Student.StuID = Has_Pet.StuID
pets_1	Find the id of the pet owned by student whose last name is ‘Smith’.	SELECT T2.petid FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid WHERE T1.Lname  =  'Smith'	SELECT Has_Pet.PetID FROM Has_Pet JOIN Student ON Has_Pet.StuID = Student.StuID WHERE Student.LName = "Smith"
pets_1	What is the id of the pet owned by the student whose last name is 'Smith'?	SELECT T2.petid FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid WHERE T1.Lname  =  'Smith'	SELECT Has_Pet.PetID FROM Has_Pet JOIN Student ON Has_Pet.StuID = Student.StuID WHERE Student.LName = "Smith"
pets_1	Find the number of pets for each student who has any pet and student id.	SELECT count(*) ,  T1.stuid FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid GROUP BY T1.stuid	SELECT COUNT(*), Has_Pet.StuID FROM Has_Pet GROUP BY Has_Pet.StuID
pets_1	For students who have pets , how many pets does each student have ? list their ids instead of names .	select count(*) ,  t1.stuid from student as t1 join has_pet as t2 on t1.stuid  =  t2.stuid group by t1.stuid	SELECT Has_Pet.StuID, COUNT(*) FROM Has_Pet GROUP BY Has_Pet.StuID
pets_1	Find the first name and gender of student who have more than one pet.	SELECT T1.fname ,  T1.sex FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid GROUP BY T1.stuid HAVING count(*)  >  1	SELECT Student.Fname, Student.Sex FROM Student JOIN Has_Pet ON Student.StuID = Has_Pet.StuID GROUP BY Has_Pet.StuID HAVING COUNT(*) > 1
pets_1	What is the first name and gender of the all the students who have more than one pet?	SELECT T1.fname ,  T1.sex FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid GROUP BY T1.stuid HAVING count(*)  >  1	SELECT Student.Fname, Student.Sex FROM Student JOIN Has_Pet ON Student.StuID = Has_Pet.StuID GROUP BY Has_Pet.StuID HAVING COUNT(*) > 1
pets_1	Find the last name of the student who has a cat that is age 3.	SELECT T1.lname FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pet_age  =  3 AND T3.pettype  =  'cat'	SELECT Student.LName FROM Student JOIN Has_Pet ON Student.StuID = Has_Pet.StuID JOIN Pets ON Has_Pet.PetID = Pets.PetID WHERE Pets.PetType = "cat" AND Student.Age = 3
pets_1	What is the last name of the student who has a cat that is 3 years old?	SELECT T1.lname FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pet_age  =  3 AND T3.pettype  =  'cat'	SELECT Student.LName FROM Student JOIN Has_Pet ON Student.StuID = Has_Pet.StuID WHERE Student.Age = 3
pets_1	Find the average age of students who do not have any pet .	select avg(age) from student where stuid not in (select stuid from has_pet)	SELECT AVG(Student.Age) FROM Student WHERE Student.StuID NOT IN (SELECT Has_Pet.StuID FROM Has_Pet)
pets_1	What is the average age for all students who do not own any pets ?	select avg(age) from student where stuid not in (select stuid from has_pet)	SELECT AVG(Student.Age) FROM Student WHERE Student.StuID NOT IN (SELECT Has_Pet.StuID FROM Has_Pet)
car_1	How many continents are there?	SELECT count(*) FROM CONTINENTS;	SELECT COUNT(*) FROM continents
car_1	What is the number of continents?	SELECT count(*) FROM CONTINENTS;	SELECT COUNT(*) FROM continents
car_1	How many countries does each continent have? List the continent id, continent name and the number of countries.	SELECT T1.ContId ,  T1.Continent ,  count(*) FROM CONTINENTS AS T1 JOIN COUNTRIES AS T2 ON T1.ContId  =  T2.Continent GROUP BY T1.ContId;	SELECT countries.Continent, countries.CountryName, COUNT(*) FROM countries GROUP BY countries.Continent
car_1	For each continent, list its id, name, and how many countries it has?	SELECT T1.ContId ,  T1.Continent ,  count(*) FROM CONTINENTS AS T1 JOIN COUNTRIES AS T2 ON T1.ContId  =  T2.Continent GROUP BY T1.ContId;	SELECT countries.Continent, countries.CountryName, COUNT(*) FROM countries GROUP BY countries.Continent
car_1	How many countries are listed?	SELECT count(*) FROM COUNTRIES;	SELECT COUNT(*) FROM countries
car_1	How many countries exist?	SELECT count(*) FROM COUNTRIES;	SELECT COUNT(*) FROM countries
